	0
chi2_pos1	5.62163471533721
XEng_pos1	8.000014601175439
zp_x_pos1	6.447999999999865
zp_y_pos1	183.39999999999998
th2_motor_pos1	-0.12299788148999999
clens_x_pos1	-114.9989999999998
clens_y1_pos1	-225.01000000000002
clens_y2_pos1	-204.98999999999995
clens_p_pos1	-0.9930000000000518
DetU_x_pos1	-0.5419999999994332
DetU_y_pos1	-0.03005468750000384
aper_x_pos1	-11.887999999999465
aper_y_pos1	182.41000000000008
chi2_pos2	5.621405833064714
XEng_pos2	8.500000528794814
zp_x_pos2	-12.55099999999993
zp_y_pos2	182.39999999999998
th2_motor_pos2	-0.12285490687799999
clens_x_pos2	-115.0
clens_y1_pos2	-225.01000000000002
clens_y2_pos2	-204.98999999999995
clens_p_pos2	-0.9930000000000518
DetU_x_pos2	-0.5419999999994332
DetU_y_pos2	-0.03005468750000384
aper_x_pos2	-16.897999999999683
aper_y_pos2	182.41000000000008
